fishid,date,slfl,flfl,slet,flet,tlfl
LONSME 16-005,1/10/2016,114,122,,,
LONSME 16-003,1/10/2016,100,108,,,
LONSME 16-004,1/10/2016,100,110,,,
LONSME 16-006,1/10/2016,99,110,,,
LONSME 16-007,1/10/2016,94,106,,,
LONSME 16-015,11/5/2016,87,94,,,
LONSME 16-002,1/10/2016,84,92,,,
LONSME 16-016,11/5/2016,77,83,,,
16-009,1/23/2016,61,70,,,
16-019,12/4/2016,57,62,,,
LONSME 16-001,12/12/2015,52,57,,,
17-036,4/8/2017,37,39,,,
17-037,4/8/2017,36,38,,,
17-008,4/8/2017,35,37,,,
17-172,5/7/2017,34,37,,,
17-009,4/8/2017,33,35,,,
17-045,4/8/2017,33,36,,,
17-052,4/8/2017,33,36,,,
17-070,4/11/2017,33,35,,,
17-167,5/6/2017,33,36,,,
17-171,5/7/2017,33,36,,,
17-027,4/8/2017,32,35,,,
17-028,4/8/2017,32,35,,,
17-170,5/6/2017,32,35,,,
17-168,5/6/2017,31,33,,,
17-014,4/8/2017,30,31,,,
17-032,4/8/2017,30,32,,,
17-035,4/8/2017,30,32,,,
17-041,4/8/2017,30,32,,,
17-043,4/8/2017,30,32,,,
17-050,4/8/2017,30,32,,,
17-067,4/11/2017,30,33,,,
17-071,4/11/2017,30,38,,,
17-006,4/8/2017,29,31,,,
17-018,4/8/2017,29,30,,,
17-023,4/8/2017,29,31,,,
17-030,4/8/2017,29,31,,,
17-031,4/8/2017,29,31,,,
17-059,4/9/2017,29,31,,,
17-064,4/11/2017,29,31,,,
17-084,4/11/2017,29,30,,,
17-002,4/8/2017,28,30,,,
17-040,4/8/2017,28,31,,,
17-056,4/8/2017,28,30,,,
17-057,4/8/2017,28,30,,,
17-060,4/9/2017,28,29,,,
17-086,4/11/2017,28,29,,,
17-087,4/11/2017,28,29,,,
17-111,4/14/2017,28,29,,,
17-001,4/8/2017,27,29,,,
17-004,4/8/2017,27,29,,,
17-005,4/8/2017,27,29,,,
17-007,4/8/2017,27,29,,,
17-012,4/8/2017,27,29,,,
17-021,4/8/2017,27,29,,,
17-022,4/8/2017,27,29,,,
17-026,4/8/2017,27,29,,,
